Year,Budget (in Billion $),Success Rate (%),Duration (in Days),Num_Collaborators,Tech_Maturity,Mission Type_Unmanned,Technology Used_Nuclear Propulsion,Technology Used_Reusable Rocket,Technology Used_Solar Propulsion,Technology Used_Traditional Rocket,Country_France,Country_Germany,Country_India,Country_Israel,Country_Japan,Country_Russia,Country_UAE,Country_UK,Country_USA,Satellite Type_Navigation,Satellite Type_Research,Satellite Type_Spy,Satellite Type_Weather,Environmental Impact_Low,Environmental Impact_Medium,Tech_Budget_Power
2006,16.57,71.0,76,3,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,16.57
2025,47.79,56.0,295,3,4.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,191.16
2024,46.17,62.0,322,2,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,46.17
2025,3.83,65.0,323,3,2.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,7.66
2009,11.4,88.0,215,2,1.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,11.4
2022,16.89,56.0,326,2,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,16.89
2016,0.79,82.0,191,3,1.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.79
2022,1.51,92.0,353,1,2.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,3.02
2024,26.05,73.0,307,2,3.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,78.15
2011,3.08,64.0,213,1,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,12.32
2003,19.78,88.0,143,1,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,19.78
2024,38.2,97.0,358,3,4.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,152.8
2015,24.51,72.0,177,1,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,24.51
2009,11.27,50.0,175,2,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,33.81
2015,47.9,61.0,154,3,4.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,191.6
2000,28.94,71.0,283,2,4.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,115.76
2009,35.58,97.0,165,1,4.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,142.32
2020,48.72,68.0,119,3,2.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,97.44
2013,33.53,93.0,259,1,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,100.59
2024,23.1,99.0,267,3,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,23.1
2011,47.39,60.0,260,3,2.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,94.78
2006,23.83,71.0,140,2,3.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,71.49
2022,45.98,91.0,229,3,4.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,183.92
2020,42.77,95.0,60,1,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,171.08
2025,7.59,98.0,265,1,4.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,30.36
2010,40.67,63.0,39,1,3.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,122.01
2022,18.11,85.0,342,2,4.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,72.44
2010,14.83,68.0,13,1,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,14.83
2017,4.16,73.0,318,1,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,16.64
2008,25.99,97.0,146,1,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,25.99
2003,11.82,76.0,148,1,2.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,23.64
2012,46.66,69.0,239,3,1.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,46.66
2025,28.49,66.0,212,3,2.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,56.98
2020,34.23,55.0,290,2,1.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,34.23
2020,14.98,54.0,264,1,1.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,14.98
2024,17.47,69.0,118,3,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17.47
2002,37.62,99.0,309,2,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,37.62
2017,4.43,67.0,274,3,4.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,17.72
2003,46.54,74.0,191,2,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,186.16
2023,33.15,85.0,93,3,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,33.15
2009,6.89,79.0,262,2,4.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,27.56
2022,6.85,76.0,3,1,2.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,13.7
2012,44.02,79.0,134,3,4.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,176.08
2024,7.63,58.0,6,1,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,7.63
2017,14.01,93.0,227,3,1.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,14.01
2024,16.47,78.0,88,2,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,49.41
2012,37.98,99.0,5,3,2.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,75.96
2002,14.58,55.0,58,1,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,43.74
2005,26.26,66.0,39,3,2.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,52.52
2012,44.88,59.0,311,1,3.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,134.64000000000001
2020,5.36,85.0,330,1,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,16.080000000000002
2009,6.93,76.0,251,2,4.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,27.72
2004,44.39,76.0,316,3,1.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,44.39
2010,32.82,87.0,50,1,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,98.46000000000001
2008,28.25,67.0,94,2,1.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,28.25
2015,9.98,52.0,81,1,1.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,9.98
2016,22.72,61.0,136,2,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,22.72
2025,8.29,90.0,320,3,4.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,33.16
2024,10.14,98.0,157,1,4.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,40.56
2010,16.85,81.0,110,2,3.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50.550000000000004
2011,40.63,66.0,4,3,3.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,121.89000000000001
2014,29.25,77.0,126,1,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,29.25
2015,2.52,100.0,142,2,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2.52
2003,32.74,78.0,90,3,2.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,65.48
2004,10.58,100.0,340,2,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,10.58
2022,25.15,73.0,105,1,1.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,25.15
2005,20.93,86.0,236,1,1.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,20.93
2013,10.56,63.0,293,2,2.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,21.12
2025,43.25,65.0,265,3,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,173.0
2019,11.38,52.0,176,2,2.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,22.76
2003,18.32,89.0,194,3,2.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,36.64
2000,31.13,85.0,126,2,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,31.13
2002,13.51,96.0,335,1,1.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,13.51
2012,3.15,65.0,284,3,3.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,9.45
2001,34.03,50.0,153,2,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,34.03
2022,47.92,88.0,180,2,4.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,191.68
2015,44.43,91.0,355,2,2.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,88.86
2024,26.66,94.0,70,2,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,26.66
2014,41.21,63.0,6,2,3.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,123.63
2007,47.64,91.0,321,2,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,47.64
2009,4.45,91.0,254,2,2.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,8.9
2021,37.09,54.0,220,2,4.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,148.36
2023,8.23,60.0,259,1,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,8.23
2016,2.9,85.0,94,3,1.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,2.9
2016,39.6,60.0,65,1,1.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,39.6
2006,18.23,57.0,350,2,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,18.23
2008,9.25,76.0,34,1,3.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,27.75
2022,33.3,50.0,83,3,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,33.3
2007,37.9,76.0,217,3,4.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,151.6
2008,17.26,65.0,182,1,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,17.26
2014,40.73,76.0,257,2,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,40.73
2001,27.77,54.0,100,3,3.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,83.31
2012,31.37,83.0,292,1,2.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,62.74
2018,21.31,92.0,148,3,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,63.92999999999999
2014,40.0,67.0,280,3,2.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,80.0
2012,43.63,96.0,113,1,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,43.63
2014,29.22,85.0,173,1,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,29.22
2004,33.31,52.0,337,3,2.0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,66.62
2024,22.53,80.0,120,2,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,90.12
2021,36.98,98.0,172,3,4.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,147.92
2010,26.89,61.0,128,3,2.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,53.78
2023,30.86,98.0,142,1,2.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,61.72
2020,49.92,97.0,198,1,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,199.68
2020,36.69,72.0,363,1,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,110.07
2021,8.7,88.0,139,2,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,8.7
2017,11.23,89.0,36,2,4.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,44.92
2022,24.27,85.0,139,3,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,24.27
2001,3.42,87.0,181,1,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,3.42
2013,38.94,98.0,333,3,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,38.94
2023,41.31,62.0,101,3,3.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,123.93
2009,42.52,75.0,75,2,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,42.52
2012,8.04,80.0,276,3,1.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,8.04
2001,7.04,58.0,101,3,1.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.04
2011,9.84,83.0,304,3,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,9.84
2010,37.91,56.0,311,3,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,37.91
2002,25.28,75.0,132,1,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,25.28
2013,28.52,54.0,343,1,2.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,57.04
2008,28.42,95.0,135,3,3.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,85.26
2014,46.7,52.0,287,2,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,46.7
2015,8.35,73.0,239,1,2.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.7
2007,31.94,69.0,137,1,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,31.94
2009,27.79,58.0,134,3,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,27.79
2012,15.59,68.0,277,2,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,15.59
2014,38.95,70.0,305,2,2.0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,77.9
2023,32.36,51.0,264,3,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,32.36
2002,45.65,52.0,7,2,4.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,182.6
2010,17.82,95.0,231,3,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,17.82
2004,33.47,67.0,114,1,1.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,33.47
2022,22.6,88.0,149,3,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,22.6
2001,31.32,74.0,64,1,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,31.32
2018,27.09,75.0,144,1,2.0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,54.18
2004,13.33,66.0,110,1,1.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,13.33
2024,20.7,80.0,264,3,3.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,62.099999999999994
2003,30.03,100.0,43,2,1.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,30.03
2006,12.87,96.0,170,3,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,38.61
2025,31.41,78.0,85,2,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,125.64
2003,16.08,56.0,2,2,1.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,16.08
2000,3.99,100.0,139,2,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.99
2018,46.02,52.0,167,2,1.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,46.02
2023,11.99,99.0,145,1,2.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23.98
2008,34.47,51.0,50,3,1.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,34.47
2000,37.05,89.0,174,1,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,37.05
2016,16.53,69.0,20,2,4.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,66.12
2018,7.14,57.0,83,1,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,7.14
2004,44.87,65.0,295,3,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,44.87
2019,18.19,90.0,48,3,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,18.19
2015,42.16,70.0,216,3,2.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,84.32
2017,23.44,90.0,304,1,4.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,93.76
2008,25.4,58.0,103,3,2.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,50.8
2022,48.07,54.0,78,1,2.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,96.14
2008,16.53,69.0,330,3,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,16.53
2008,10.18,73.0,7,1,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,30.54
2018,35.44,68.0,101,1,3.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,106.32
2017,24.65,93.0,84,2,1.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,24.65
2023,9.66,96.0,137,2,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,9.66
2003,36.55,64.0,276,1,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,36.55
2009,15.34,69.0,234,2,2.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,30.68
2012,45.57,60.0,99,2,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,45.57
2020,29.74,79.0,309,2,4.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,118.96
2020,42.56,81.0,260,3,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,42.56
2009,31.38,61.0,90,1,2.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,62.76
2010,38.83,83.0,220,3,4.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,155.32
2002,11.86,60.0,250,1,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,11.86
2007,36.63,51.0,20,3,2.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,73.26
2008,39.93,87.0,314,1,2.0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,79.86
2007,34.04,76.0,42,3,1.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,34.04
2004,42.85,56.0,226,2,4.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,171.4
2007,5.67,87.0,110,3,3.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.009999999999998
2008,29.48,52.0,15,1,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,29.48
2015,33.11,61.0,299,3,4.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,132.44
2007,39.71,80.0,300,3,4.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,158.84
2017,41.54,55.0,130,1,2.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,83.08
2022,15.6,94.0,109,1,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,15.6
2007,28.88,63.0,311,3,3.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,86.64
2021,22.71,81.0,185,1,2.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,45.42
2015,38.46,63.0,21,3,2.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,76.92
2016,11.86,81.0,333,1,3.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,35.58
2019,0.58,84.0,112,1,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,1.7399999999999998
2005,22.97,61.0,349,1,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,22.97
2007,18.57,76.0,5,2,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,74.28
2000,16.02,74.0,300,3,4.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,64.08
2017,39.83,95.0,321,3,3.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,119.49
2002,46.41,54.0,16,3,1.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,46.41
